changeg8_title;G8 중점 변경;Change the Focus of the Group of 8 Industrialised Countries;;;;;;;;x
changeg8_desc;주요 8개국을 가리키는 G8은 매년 모여 세계적 쟁점을 논의합니다. 매년 G8은 정상회담을 개최하는데, 회원국 정상과 정부가 만나 세계적 쟁점을 논의하고 조율하는 회의입니다. G8은 연례 정상회담으로 가장 잘 알려져 있지만, 사실 일년 내내 경제나 기후변화와 같은 중요한 현대적 주제를 다룹니다다. G8에서는 세계 정책을 논의하고 생성하지만, 이러한 정책들을 고수하는 것은 의무적이지 않으며 다른 국가들에게는 복종할지 말지를 결정할 자유가 있습니다.;The G8, otherwise known as the Group of Eight, is an assembly of world leaders who meet annually to discuss global issues.  Each year, the G8 holds a Leaders?Summit, in which Heads of State and Government of member countries meet to discuss and attempt to reconcile global issues.  Although the G8 is best known for its annual summits, it works throughout the year to tackle important contemporary topics such as the economy and climate change.  The G8 discusses and creates global policies.  However, adherence to these policies is not obligatory, and other countries can decide whether or not to obey.;;;;;;;;x
supersonic_generic;초음속 상용제트기 계획 완료;Supersonic Commercial Jet Program Completed;;;;;;;;x
supersonic_usa;미국 초음속 상용제트기 계획 완료;US Supersonic Commercial Jet Program Completed;;;;;;;;x
supersonic_rus;러시아 초음속 상용제트기 계획 완료;Russian Supersonic Commercial Jet Program Completed;;;;;;;;x
supersonic_generic_development;초음속 상용제트기 계획 진쟁 중;Supersonic Commercial Jet Program Underway;;;;;;;;x
supersonic_usa_development;미국 초음속 상용제트기 계획 진쟁 중;US Supersonic Commercial Jet Program Underway;;;;;;;;x
supersonic_rus_development;러시아 초음속 상용제트기 계획 진쟁 중;Russian Supersonic Commercial Jet Program Underway;;;;;;;;x
EVTDESC1410134;미국 항공기 회사들은 콩코드 발표 전부터 초음속 여객기, 즉 초음속 여객선의 실현 가능성을 진지하게 보았습니다. 그 중 더글러스 항공사는 1961년에 음속의 3배 속도로 비행할 수 있는 항공기 개념을 만들었습니다. 더글러스사는 1970년까지 그러한 항공기가 날 수 있게 될 뿐만 아니라 수백 대의 항공기 시장이 생길 것이라고 믿었습니다. 알고 보니 콩코드만이 미국인들의 관심을 집중시킬 유일한 이유가 아니었습니다. 철의 장막 반대편에서 러시아도 초음속 수송기와 여객기 'Tu-144'를 만들고 있었습니다. 영국과 프랑스에게 초음속 여객기라는 경기장에서 두들겨 맞는 것은 러시아인들에게 깨끗한 신발 한 켤레를 보여주는 것과 또 다른 문제입니다.;Even before Concorde was announced, American aircraft companies were seriously looking at the feasibility of a supersonic passenger plane, or a Supersonic Transport (SST). One company, Douglas Aircraft, produced a concept in 1961 for an airliner that could fly at three times the speed of sound (Mach 3). Douglas not only believed that such an aircraft could be flying by 1970, but that there would be a market for hundreds of aircraft. Concorde, it turned out, was not the only reason to focus American attention. On the other side of the Iron Curtain, the Russian design bureau Tupolev was also creating a supersonic transport and airliner, the Tu-144. To be beaten in the supersonic airliner arena by the British and the French was one thing ?to be shown a clean pair of heels by the Russians was another.;;;;;;;;x
EVTDESC1410135;Tu-144S는 승객 서비스에 대비해 1975년 12월 26일에 운행을 시작했습니다. 첫 번째 Tu-144D가 1978년 5월 23일 2명의 승무원과 함께 착륙하는 동안 승객 서비스는 기내 결함을 경험할 때까지 준예약 서비스를 운영했습니다. Tu-144의 55번째이자 마지막 여객기는 1978년 6월 1일에 비행을 시작했습니다. 1979년 6월 23일부터 화물 전용 서비스는 보다 효율적인 터보제트 엔진을 사용하는 새로운 생산 변형 Tu-144D 항공기를 사용하기 시작했으며, 최대 순항 속도는 마하 2.15까지 증가했습니다. 55편의 여객기를 포함하면, 상업 운항이 중단되기 전까지 102편의 예약 항공편이 있었습니다.;The Tu-144S went into service on 26 December 1975, flying mail and freight between Moscow and Alma-Ata in preparation for passenger services, which commenced on 1 November 1977. The passenger service ran a semi-scheduled service until the first Tu-144D experienced an in-flight failure during a pre-delivery test flight, crash-landing on 23 May 1978 with two crew fatalities. The Tu-144's 55th and last scheduled passenger flight occurred on 1 June 1978. An Aeroflot freight-only service recommenced using the new production variant Tu-144D aircraft on 23 June 1979, including longer routes from Moscow to Khabarovsk made possible by the more efficient Kolesov RD-36-51 turbojet engines, which also increased the maximum cruising speed to Mach 2.15. Including the 55 passenger flights, there were 102 scheduled flights before the cessation of commercial service.;;;;;;;;x
EVTDESC1410136;초음속 여객기는 음속보다 빠른 속도로 승객을 수송하도록 설계된 민간 초음속 항공기입니다. 초음속 여객기는 수많은 최근 및 진행 중인 설계 연구의 대상입니다. 현재 단점 및 설계시 과제는 이륙과 비행중의 음속으로 인한 과도한 소음 발생, 높은 개발비, 비싼 건설자재, 무거운 중량, 그리고 아음속 여객기에 비해 비싼 좌석비입니다.;A supersonic transport (SST) is a civilian supersonic aircraft designed to transport passengers at speeds greater than the speed of sound. Supersonic airliners have been the objects of numerous recent and ongoing design studies. Drawbacks and design challenges are excessive noise generation (at takeoff and due to sonic booms during flight), high development costs, expensive construction materials, great weight, and an increased cost per seat over subsonic airliners.;;;;;;;;x
supersonic_generic_title;음속 상용제트기 계획 착수;Initiate a Supersonic Commercial Jet Program;;;;;;;;x
supersonic_generic_desc;초음속 여객기는 음속보다 빠른 속도로 승객을 수송하도록 설계된 민간 초음속 항공기입니다. 초음속 여객기는 수많은 최근 및 진행 중인 설계 연구의 대상입니다. 현재 단점 및 설계시 과제는 이륙과 비행중의 음속으로 인한 과도한 소음 발생, 높은 개발비, 비싼 건설자재, 무거운 중량, 그리고 아음속 여객기에 비해 비싼 좌석비입니다.;A supersonic transport (SST) is a civilian supersonic aircraft designed to transport passengers at speeds greater than the speed of sound. Supersonic airliners have been the objects of numerous recent and ongoing design studies. Drawbacks and design challenges are excessive noise generation (at takeoff and due to sonic booms during flight), high development costs, expensive construction materials, great weight, and an increased cost per seat over subsonic airliners.;;;;;;;;x
supersonic_rus_title;음속 상용제트기 계획 착수;Initiate a Supersonic Commercial Jet Program;;;;;;;;x
supersonic_usa_title;음속 상용제트기 계획 착수;Initiate a Supersonic Commercial Jet Program;;;;;;;;x
supersonic_rus_desc;초음속 여객기는 음속보다 빠른 속도로 승객을 수송하도록 설계된 민간 초음속 항공기입니다. 초음속 여객기는 수많은 최근 및 진행 중인 설계 연구의 대상입니다. 현재 단점 및 설계시 과제는 이륙과 비행중의 음속으로 인한 과도한 소음 발생, 높은 개발비, 비싼 건설자재, 무거운 중량, 그리고 아음속 여객기에 비해 비싼 좌석비입니다.;A supersonic transport (SST) is a civilian supersonic aircraft designed to transport passengers at speeds greater than the speed of sound. Supersonic airliners have been the objects of numerous recent and ongoing design studies. Drawbacks and design challenges are excessive noise generation (at takeoff and due to sonic booms during flight), high development costs, expensive construction materials, great weight, and an increased cost per seat over subsonic airliners.;;;;;;;;x
supersonic_usa_desc;초음속 여객기는 음속보다 빠른 속도로 승객을 수송하도록 설계된 민간 초음속 항공기입니다. 초음속 여객기는 수많은 최근 및 진행 중인 설계 연구의 대상입니다. 현재 단점 및 설계시 과제는 이륙과 비행중의 음속으로 인한 과도한 소음 발생, 높은 개발비, 비싼 건설자재, 무거운 중량, 그리고 아음속 여객기에 비해 비싼 좌석비입니다.;A supersonic transport (SST) is a civilian supersonic aircraft designed to transport passengers at speeds greater than the speed of sound. Supersonic airliners have been the objects of numerous recent and ongoing design studies. Drawbacks and design challenges are excessive noise generation (at takeoff and due to sonic booms during flight), high development costs, expensive construction materials, great weight, and an increased cost per seat over subsonic airliners.;;;;;;;;x
changecentral_desc;중앙집중도는 정책을 통과시키고 대중의 지지를 이끌어내는 능력에 영향을 미칩니다. 지방정부가 각 지역의 특정한 요구에 더 잘 부응할 수 있다는 이유로 지방분권화를 추구할 수도 있으나, 빠른 발전을 추구하는 국가는 경제적 안정을 도모할 더 많은 전면적인 변화와 통일성이 필요하므로 중앙집중화를 선호합니다.;The level of Centralisation in our Nation can affect our ability to pass through policies and attract the support of the populace. A cosmopolitan nation may want to have a decentralised government as the local governments would be better at serving to each locale's particular needs. However if a nation is seeking to develop fast, a centralised government would be preferred as it would allow for more sweeping changes and uniformity in the nation that can promote economic stability.;;;;;;;;x
centralmedium_desc;중앙집중형 정부는 행정부가 권력과 법의 강권을 사실상 행사하거나 조정하며 연방주, 지방 당국 및 소규모 지역단위는 행정부의 권한 아래에 있는 정부입니다. 국가적인 맥락에서 중앙집중화는 전형적인 주권국으로의 권력 이양에서 일어납니다. 현재까지는 고대 이집트 초기의 파라오인 메네스가 제1왕조의 시조로서 중앙집중형 정부를 수립한 최초의 통치자입니다.;A centralised government is one in which power or legal authority is exerted or coordinated by a de facto political executive to which federal states, local authorities, and smaller units are considered subject. In a national context, centralisation occurs in the transfer of power to a typically sovereign nation state. Menes, an ancient Egyptian pharaoh of the early dynastic period, is credited by classical tradition with having united Upper and Lower Egypt, and as the founder of the first dynasty (Dynasty I), became the first ruler to institute a centralised government.;;;;;;;;x
centralhigh_desc;대규모 중앙집중화 또는 민주집중제는 (민주적으로 선출된 기관을 통해) 당의 정치적 결정이 모든 구성원들에게 구속력을 갖는 방법입니다. 이는 중앙정부에 모든 지방정부에 대한 완전한 상위 권한을 제공합니다.;Immense Centralisation or Democratic centralism is a method of leadership in which political decisions reached by the party (through its democratically elected bodies) are binding upon all members of the party. This will offer the Central Government complete authority over all local Government branches.;;;;;;;;x
centrallow_desc;정치적 분권은 시민이나 그들이 선출한 대표들에게 더 많은 권한을 줍니다. 그것은 다원적인 정치와 대표 정부와 연관이 있지만, 시민들 또는 그들의 대표자들이 법과 정책의 공식과 실행에 더 많은 영향력을 행사함을 의미하기도 합니다. 국가에 따라서 헌법 또는 법령상의 개혁, 새로운 정당의 발전, 입법부의 권한 증대, 지역 정치 단위의 창설, 그리고 지지 단체의 장려를 필요로 하기도 합니다.;Political decentralisation aims to give citizens or their elected representatives more power. It may be associated with pluralistic politics and representative government, but it also means giving citizens, or their representatives, more influence in the formulation and implementation of laws and policies. Depending on the country, this may require constitutional or statutory reforms, the development of new political parties, increased power for legislatures, the creation of local political units, and encouragement of advocacy groups.;;;;;;;;x
changecentral_title;중앙집중도 변경;Change Level of Governmental Centralisation in State;;;;;;;;x
centralhigh_title;극심한 중앙집중화;Intense Centralisation of State Government;;;;;;;;x
centralmedium_title;중앙집중화;Centralisation of State Government;;;;;;;;x
centrallow_title;지방분권화;De-centralisation of State Government;;;;;;;;x
centralhigh;고중앙집중국;Highly Centralised State;;;;;;;;x
centralmedium;중앙집중국;Centralised State;;;;;;;;x
centrallow;지방분권국;De-centralised State;;;;;;;;x
changecentral;최근 중앙집중도 변경;Recently Changed Level of Centralisation in the Country;;;;;;;;x
EVTDESC1410133;영국과 프랑스가 세계 최초로 초음속 상업용 제트기를 개발하는데 성공했습니다. 콩코드는 두 나라에 관심이 있고 우호적인 모든 국가들에게 판매될 것입니다. 구매하겠습니까? 확실히 인지도를 올리는데 도움을 줄 것입니다.;Britain and France have managed to develop the world's first supersonic commercial jet aircraft. The Concorde will be avaliable for sale to all nations interested and friendly to the two nations. Would we like to purchase one? It will certainly increase our nation's profile.;;;;;;;;x
concorde_development;초음속 제트기 계획 진행 중;Supersonic Jet Program underway;;;;;;;;x
concorde;콩고드 초음속 제트기 개발;Concorde Supersonic Jet developed;;;;;;;;x
EVTDESC1410133;대브리튼과 북아일랜드 연합왕국과 프랑스 공화국이 정부/민간 초음속 여객기를 공동으로 개발/생산하기로 결정하면서 다음과 같이 합의했습니다. 이 협력의 원칙은 계획 전체, 작업, 두 정부의 지출 수입 및 판매 수익에 대한 동등한 책임에 근거해 두 나라가 동등하게 공유합니다. 가능하면 엄격하게 준수해야 하는 이 원칙은 전체(공기, 엔진, 시스템 및 장비)로 간주되는 계획에는 개발 및 생산(예비 포함)과 관련해 적용되어야 합니다. 분담은 양국 정부 간 합의에 의해 명시되는 세금을 제외하고, 각국에서 실시하는 작업에 해당하는 지출에 근거해야 합니다. 이러한 지출은 현재 계약의 데이터에서 계산합니다. 1962년 10월 25일 서드 항공과 영국 항공기 회사의 협정 및 1961년 11월 28일 브리스톨 시들리 협정에 주목한 두 이사회는 그들을 승인했습니다.;The Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the French Republic. Having decided to develop and produce jointly a civil supersonic transport aircraft have agreed as follows: The principle of this collaboration shall be equal sharing between the two countries, on the basis of equal responsibility for the project as a whole, of the work, of the expenditure income by the two Governments, and of the proceeds of sales. This principle, which shall be observed as strictly possible, shall apply, as regards both development and production (including spares), to the project considered as a whole (airframe, engine, system and equipment). The sharing shall be based upon the expenditure corresponding to the work carried out in each country, excluding taxes to be specified by agreement between the two Governments. Such expenditure shall be calculated from the data of the present agreements. The two Goverments having taken note of the agreement dated 25 october l 962 between Sud Aviation and the British Aircraft Corporation (BAC) and of the agrcement dated 28 November 1961, between Bristol Siddeley and the Societe Nationale d'Etude et de Construction de Moteurs d'Aviation (SNECMA) have approved them with provisions, which are the subject of agreement between Governments.;;;;;;;;x
EVTDESC1410130;1965년 2월에 두 개의 시제품의 제작이 시작됐습니다. 001은 툴루즈에, 002는 필턴에 건설됐습니다. 콩코드 001은 1969년 3월 2일 툴루즈에서 첫 시험비행을 했습니다. 1969년 4월 9일, 영국에서 제작한 첫 콩고드가 필턴에서 페어포드까지 비행했습니다. 두 가지 프로토타입 모두 1969년 6월 7일 파리 에어쇼에서 처음으로 대중에게 선보였습니다. 해당 계획의 진행에 따라, 001은 1971년 9월 4일에 판매 및 시연회에 착수했으며, 이는 또한 최초의 대서양 횡단 콩코드 건널목이기도 합니다. 콩코드 002는 1972년 6월 2일 중동과 극동 지역을 순회하며 그 뒤를 따랐습니다. 콩코드 002는 1973년에 처음으로 미국을 방문하여 공항 개항을 기념하기 위해 달라스/포트 워스 지방 공항에 착륙했습니다.;Construction of two prototypes began in February 1965. 001, built by A?ospatiale at Toulouse, and 002, by BAC at Filton, Bristol. Concorde 001 made its first test flight from Toulouse on 2 March 1969, piloted by Andr?Turcat, and first went supersonic on 1 October. The first UK-built Concorde flew from Filton to RAF Fairford on 9 April 1969, piloted by Brian Trubshaw. Both prototypes were presented to the public for the first time on 7? June 1969 at the Paris Air Show. As the flight programme progressed, 001 embarked on a sales and demonstration tour on 4 September 1971, which was also the first transatlantic crossing of Concorde. Concorde 002 followed suit on 2 June 1972 with a tour of the Middle and Far East. Concorde 002 made the first visit to the United States in 1973, landing at the new Dallas/Fort Worth Regional Airport to mark that airport's opening.;;;;;;;;x
EVTDESC1410129;대브리튼과 북아일랜드 연합왕국과 프랑스 공화국이 정부/민간 초음속 여객기를 공동으로 개발/생산하기로 결정하면서 다음과 같이 합의했습니다. 이 협력의 원칙은 계획 전체, 작업, 두 정부의 지출 수입 및 판매 수익에 대한 동등한 책임에 근거해 두 나라가 동등하게 공유합니다. 가능하면 엄격하게 준수해야 하는 이 원칙은 전체(공기, 엔진, 시스템 및 장비)로 간주되는 계획에는 개발 및 생산(예비 포함)과 관련해 적용되어야 합니다. 분담은 양국 정부 간 합의에 의해 명시되는 세금을 제외하고, 각국에서 실시하는 작업에 해당하는 지출에 근거해야 합니다. 이러한 지출은 현재 계약의 데이터에서 계산합니다. 1962년 10월 25일 서드 항공과 영국 항공기 회사의 협정 및 1961년 11월 28일 브리스톨 시들리 협정에 주목한 두 이사회는 그들을 승인했습니다.;The Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the French Republic. Having decided to develop and produce jointly a civil supersonic transport aircraft have agreed as follows: The principle of this collaboration shall be equal sharing between the two countries, on the basis of equal responsibility for the project as a whole, of the work, of the expenditure income by the two Governments, and of the proceeds of sales. This principle, which shall be observed as strictly possible, shall apply, as regards both development and production (including spares), to the project considered as a whole (airframe, engine, system and equipment). The sharing shall be based upon the expenditure corresponding to the work carried out in each country, excluding taxes to be specified by agreement between the two Governments. Such expenditure shall be calculated from the data of the present agreements. The two Goverments having taken note of the agreement dated 25 october l 962 between Sud Aviation and the British Aircraft Corporation (BAC) and of the agrcement dated 28 November 1961, between Bristol Siddeley and the Societe Nationale d'Etude et de Construction de Moteurs d'Aviation (SNECMA) have approved them with provisions, which are the subject of agreement between Governments.;;;;;;;;x
propose_concorde_eng_title;영국-프랑스 초음속 제트기 계획 통합;Joint Anglo-French Supersonic Jet Program;;;;;;;;x
propose_concorde_fra_title;영국-프랑스 초음속 제트기 계획 통합;Joint Anglo-French Supersonic Jet Program;;;;;;;;x
propose_concorde_eng_desc;초음속 여객기 설계에 대한 진지한 작업은 1950년대 중반 1세대 초음속 전투기가 서비스를 시작하면서 시작됐습니다. 영국과 프랑스는 정부가 지원하는 초음속 여객기 계획은 서드 항공 슈퍼카벨과 브리스톨 223을 포함한 대부분의 연구에서 삼각익으로 빠르게 정착했습니다. 암스트롱-위트워스가 보다 급진적인 설계인 마하 1.2 M-윙을 제안했음에도 불구하고 말입니다. 아브로 캐나다는 마하 1.6 곡선익과 마하 1.2 삼각익을 포함한 여러 가지 디자인을 제안했으며 별도의 꼬리와 4개의 뒷날개 엔진 구성을 포함했습니다. 아브로의 팀은 영국으로 이전하여 하워커 신들레이의 설계에 기초를 뒀습니다. 1960년대 초까지 설계는 생산에 대한 고시가 주어질 정도로 진행됐지만, 비용이 너무 많이 들어 결국 브리스톨 항공 회사와 서드 항공사는 1962년 콩코드 생산을 위한 노력을 통합했습니다.;Serious work on SST designs started in the mid-1950s, when the first generation of supersonic fighter aircraft were entering service. In Britain and France, government-subsidised SST programs quickly settled on the delta wing in most studies, including the Sud Aviation Super-Caravelle and Bristol 223, although Armstrong-Whitworth proposed a more radical design, the Mach 1.2 M-Wing. Avro Canada proposed several designs to TWA that included Mach 1.6 double-ogee wing and Mach 1.2 delta-wing with separate tail and four under-wing engine configurations. Avro's team moved to the UK where its design formed the basis of Hawker Siddeley's designs. By the early 1960s, the designs had progressed to the point where the go-ahead for production was given, but costs were so high that the Bristol Aeroplane Company and Sud Aviation eventually merged their efforts in 1962 to produce Concorde.;;;;;;;;x
propose_concorde_fra_desc;초음속 여객기 설계에 대한 진지한 작업은 1950년대 중반 1세대 초음속 전투기가 서비스를 시작하면서 시작됐습니다. 영국과 프랑스는 정부가 지원하는 초음속 여객기 계획은 서드 항공 슈퍼카벨과 브리스톨 223을 포함한 대부분의 연구에서 삼각익으로 빠르게 정착했습니다. 암스트롱-위트워스가 보다 급진적인 설계인 마하 1.2 M-윙을 제안했음에도 불구하고 말입니다. 아브로 캐나다는 마하 1.6 곡선익과 마하 1.2 삼각익을 포함한 여러 가지 디자인을 제안했으며 별도의 꼬리와 4개의 뒷날개 엔진 구성을 포함했습니다. 아브로의 팀은 영국으로 이전하여 하워커 신들레이의 설계에 기초를 뒀습니다. 1960년대 초까지 설계는 생산에 대한 고시가 주어질 정도로 진행됐지만, 비용이 너무 많이 들어 결국 브리스톨 항공 회사와 서드 항공사는 1962년 콩코드 생산을 위한 노력을 통합했습니다.;Serious work on SST designs started in the mid-1950s, when the first generation of supersonic fighter aircraft were entering service. In Britain and France, government-subsidised SST programs quickly settled on the delta wing in most studies, including the Sud Aviation Super-Caravelle and Bristol 223, although Armstrong-Whitworth proposed a more radical design, the Mach 1.2 M-Wing. Avro Canada proposed several designs to TWA that included Mach 1.6 double-ogee wing and Mach 1.2 delta-wing with separate tail and four under-wing engine configurations. Avro's team moved to the UK where its design formed the basis of Hawker Siddeley's designs. By the early 1960s, the designs had progressed to the point where the go-ahead for production was given, but costs were so high that the Bristol Aeroplane Company and Sud Aviation eventually merged their efforts in 1962 to produce Concorde.;;;;;;;;x
space_theme_parks;우주관광산업;Space Toruism Industry;;;;;;;;x
space_theme_parks_title;우주관광 설립;Establish Space Tourism in our Country;;;;;;;;x
space_theme_parks_desc;우주관광은 오락, 여가 또는 사업 목적을 위한 우주여행입니다. 최근 몇 년간 버진 갤럭틱과 XCOR 항공우주 등 수많은 스타트업 기업들이 우주관광산업을 창출하고자 발돋움하고 있습니다. 지금까지는 러시아 우주국만이 교통수단을 제공했으므로 제한적이고 비용이 많이 들었습니다.;Space tourism is space travel for recreational, leisure or business purposes. A number of startup companies have sprung up in recent years, such as Virgin Galactic and XCOR Aerospace, hoping to create a sub-orbital space tourism industry. Orbital space tourism opportunities have been limited and expensive, with only the Russian Space Agency providing transport to date.;;;;;;;;x
EVTTITLE1410124;레고 그룹;The Lego Group;;;;;;;;x
EVTDESC1410124;레고 그룹의 구호는 '최고의 것만이 최고이다'입니다. (더 문학적으로는 '최고의 것은 결코 좋은 것이 아니다') 오늘날에도 여전히 사용되는 해당 구호는 올레 커크가 직원들에게 자신이 강하게 믿었던 가치인 품질에 절대 집착하지 않도록 격려하기 위해 만든 것입니다. 1950년대 초 빌런드에 있는 레고 공장을 방문한 덴마크 무역 잡지 "토이타임즈"는 플라스틱이 전통적인 나무 장난감을 결코 대체하지 못할 것이라고 말했지만, 1951년까지 플라스틱 장난감은 레고 회사 생산량의 절반을 차지했습니다. 일반적인 정서이지만, 레고 장난감은 아이들 장난감에서 플라스틱을 싫어하는 것에 대해 상당한 예외가 된 것 같습니다. 이는 부분적으로 올레 커크가 정한 높은 기준 때문입니다. 1954년까지 크리스천슨의 아들 고트프레드는 레고 그룹의 전무이사가 됐습니다. 장난감 시스템 아이디어로 이어진 건 해외 바이어와의 대화였습니다. 그는 레고 블럭에서 창조적인 놀이 체계를 만들 수 있는 엄청난 잠재력을 보았지만, 그 블럭들은 기술적 관점에서 여전히 약간의 문제가 있었습니다. 블럭들의 능력은 제한됐고 다재다능하지 않았습니다. 1958년, 현대적인 블럭 디자인을 개발했으나 해당 디자인에 적절한 재료를 찾는데 5년이 더 걸렸습니다. 현대의 레고 블럭 디자인은 1958년 1월 28일에 특허를 받았습니다.;The Lego Group's motto is det bedste er ikke for godt which means roughly "only the best is the best" (more literally "the best is never too good"). This motto, which is still used today, was created by Ole Kirk to encourage his employees never to skimp on quality, a value he believed in strongly. By 1951 plastic toys accounted for half of the Lego Company's output, even though the Danish trade magazine Leget?s-Tidende ("Toy-Times"), visiting the Lego factory in Billund in the early 1950s, felt that plastic would never be able to replace traditional wooden toys. Although a common sentiment, Lego toys seem to have become a significant exception to the dislike of plastic in children's toys, due in part to the high standards set by Ole Kirk. By 1954, Christiansen's son, Godtfred, had become the junior managing director of the Lego Group. It was his conversation with an overseas buyer that led to the idea of a toy system. Godtfred saw the immense potential in Lego bricks to become a system for creative play, but the bricks still had some problems from a technical standpoint: their locking ability was limited and they were not versatile. In 1958, the modern brick design was developed; however, it took another five years to find the right material for it, ABS (acrylonitrile butadiene styrene) polymer. The modern Lego brick design was patented on 28 January 1958.;;;;;;;;x
EVTDESC1410120;1956년 9월 수에즈 위기 동안 공공의 적을 눈앞에 둔 영국과 프랑스는 영불 기동대를 창설했습니다. 가이 몰레 프랑스 총리는 엘리자베스 2세를 국가원수로 둔 영국과 프랑스의 연합과 공동 시민권을 제안했습니다. 또한 대안으로 프랑스의 영연방 가입을 제안했습니다. 앤서니 에덴 영국 총리가 두 제안을 모두 거부하자 프랑스는 유럽 경제공동체를 설립하고 프랑스와 독일의 협력을 강화한 로마 조약을 체결했습니다.;In September 1956, due to a common foe during the Suez Crisis, an Anglo-French Task Force was created. French Prime Minister Guy Mollet proposed a union between the United Kingdom and the French Union with Elizabeth II as head of state and a common citizenship. As an alternative, Mollet proposed that France join the Commonwealth. British Prime Minister Anthony Eden rejected both proposals and France went on to join the Treaty of Rome, which established the European Economic Community and strengthened the Franco-German cooperation;;;;;;;;x
high_rebels_rank_1;제1초강대국 유격전 적극적 선동;Active Foremost Superpower Guerilla Instigation;;;;;;;;x
high_rebels_rank_2;제2초강대국 유격전 적극적 선동;Active Second Superpower Guerilla Instigation;;;;;;;;x
low_rebels_rank_1;제1초강대국 유격전 소극적 선동;Passive Foremost Superpower Guerilla Instigation;;;;;;;;x
low_rebels_rank_2;제2초강대국 유격전 소극적 선동;Passive Second Superpower Guerilla Instigation;;;;;;;;x
high_rebels;상대 초강대국 영향권에서 유격전 적극적 선동;Actively Instigating Guerillas in Rivial Superpower Spherelings;;;;;;;;x
low_rebels;상대 초강대국 영향권에서 유격전 소극적 선동;Passively Instigating Guerillas in Rivial Superpower Spherelings;;;;;;;;x
change_rebels_title;상대 초강대국 영향권에서의 유격전 선동 수준 변경;Change level of Guerilla instigation in rivial Superpower Sphere;;;;;;;;x
high_rebels_title;상대 초강대국 영향권에서 유격전 적극적 선동;Active Guerilla instigation in rivial Superpower Sphere;;;;;;;;x
low_rebels_title;상대 초강대국 영향권에서 유격전 소극적 선동;Passive Guerilla instigation in rivial Superpower Sphere;;;;;;;;x
change_rebels_2_title;상대 초각대국 영향권에서의 유격전 선동 수준 변경;Change level of Guerilla instigation in rivial Superpower Sphere;;;;;;;;x
high_rebels_2_title;상대 초강대국 영향권에서 유격전 적극적 선동;Active Guerilla instigation in rivial Superpower Sphere;;;;;;;;x
low_rebels_2_title;상대 초강대국 영향권에서 유격전 소극적 선동;Passive Guerilla instigation in rivial Superpower Sphere;;;;;;;;x
change_rebels_desc;상대 초강대국이 선동하는 반란 수준을 변화시킵니다. 해당 반란은 반역에 참여하는 사람들이 교전단체으로 인식되지 않을 때 권위에 대한 반란입니다. 대유격전을 통해 싸울 수 있으며 주민을 보호하기 위한 조치와 현 정권에 대한 저항세력의 주장을 약화시키기 위한 다양한 종류의 정치적, 경제적 행동을 통해 겨룰 수도 있습니다. 반란의 본질은 모호한 개념입니다.;Change our level of insurgency in rival superpower spherlings instigation. An insurgency is a rebellion against authority (for example, an authority recognized as such by the United Nations) when those taking part in the rebellion are not recognised as belligerents. An insurgency can be fought via counter-insurgency warfare, and may also be opposed by measures to protect the population, and by political and economic actions of various kinds aimed at undermining the insurgents' claims against the incumbent regime. The nature of insurgencies is an ambiguous concept.;;;;;;;;x
change_rebels_2_desc;상대 초강대국이 선동하는 반란 수준을 변화시킵니다. 해당 반란은 반역에 참여하는 사람들이 교전단체으로 인식되지 않을 때 권위에 대한 반란입니다. 대유격전을 통해 싸울 수 있으며 주민을 보호하기 위한 조치와 현 정권에 대한 저항세력의 주장을 약화시키기 위한 다양한 종류의 정치적, 경제적 행동을 통해 겨룰 수도 있습니다. 반란의 본질은 모호한 개념입니다.;Change our level of insurgency in rival superpower spherlings instigation. An insurgency is a rebellion against authority (for example, an authority recognized as such by the United Nations) when those taking part in the rebellion are not recognised as belligerents. An insurgency can be fought via counter-insurgency warfare, and may also be opposed by measures to protect the population, and by political and economic actions of various kinds aimed at undermining the insurgents' claims against the incumbent regime. The nature of insurgencies is an ambiguous concept.;;;;;;;;x
high_rebels_2_desc;상대 초강대국 영향권에서의 적극적 유격전 선동은 해당 초강대국들을 불안정하게 만들어 우리나라에 우호적인 정부를 수립할 가능성을 높일 수 있습니다. 내전을 일으킬 위험성도 있으며 심지어 그 나라의 분쟁의 세계화를 더욱 악화할 위험이 있습니다.;Active Guerilla instigation in rivial Superpower Sphere. This can destabilise those nations and make it more likely for a favourable government to be installed in those nations. There is a risk of causing a civil war and even worse a globalisation of the conflict in the country.;;;;;;;;x
low_rebels_2_desc;상대 초강대국 영향권에서의 소극적 유격전 선동은 해당 초강대국들을 불안정하게 만들어 우리나라에 우호적인 정부를 수립할 가능성을 높일 수 있습니다. 내전을 일으킬 위험성도 있으며 심지어 그 나라의 분쟁의 세계화를 더욱 악화할 위험이 있습니다.;Passive Guerilla instigation in rivial Superpower Sphere. This can destabilise those nations and make it more likely for a favourable government to be installed in those nations. There is a risk of causing a civil war and even worse a globalisation of the conflict in the country.;;;;;;;;x
