CODE;ENGLISH;;;;;;;;;;;;;
EVTDESC8002314;General elections were held in Myanmar on 7 November 2010, in accordance with the new constitution, which was approved in a referendum held in May 2008. The election date was announced by the State Peace and Development Council (SPDC) on 13 August. The elections were the fifth step of the seven-step "roadmap to democracy" proposed by the SPDC in 2003, the sixth and seventh steps being the convening of elected representatives and the building of a modern, democratic nation, respectively. However, the National League for Democracy boycotted the elections. The result was a sweeping victory for the Union Solidarity and Development Party, which won nearly 80% of seats contested across the upper and lower houses. The United Nations expressed concern about the fairness of the elections, and western countries dismissed them as fraudulent. Due to the strict separation of powers in the constitution, members elected to the Pyidaungsu Hluttaw were automatically disqualified from their seats if they accepted appointment to an executive or judicial body. As a result, many elected members elected were quickly disqualified from their seats after accepting appointment to bodies such as the Cabinet of Myanmar.;;;;;;;;;;;;;
EVTDESC8002313;The 1990 Myanmar general election was held in Myanmar on 27 May 1990, and was the first multi-party election since 1960, after which the country had been ruled by a military dictatorship. The election was not meant to form a parliamentary government, but rather to form a parliament-sized constitutional committee to draft a new constitution. The election was won convincingly by Aung San Suu Kyi's National League for Democracy (NLD), who took 392 of the 492 seats. Initially, the SLORC said it would honour the results of the election to the Pyithu Hluttaw (Legislature). However, later the government, surprised at the outcome, annulled the results and many MPs elected were arrested or went into exile. Some later formed the National Coalition Government of the Union of Burma. Two months after the election, the SLORC issued Order 1/90, explaining it had legitimacy to rule as it was recognised by the United Nations and individual countries, as well as ensuring it would prevent the break-up of the Union. It required all parties to recognise and accept the Order, and many opposition figures who refused were arrested.;;;;;;;;;;;;;
EVTDESC8009605;General elections were held in the Seychelles between 20 and 23 July 1993 following the approval of a new constitution in a referendum on 18 June. They were the first-ever multi-party elections for President and the first multi-party election for the National Assembly since 1974. The Assembly was increased from 22 to 33 seats by the addition of 11 seats to be elected by proportional representation in addition to the 22 constituency seats. The ruling Seychelles People's Progressive Front, which had previously been the sole legal party, won both elections, taking 27 of the 33 seats in the National Assembly, whilst its leader, France-Albert Rene, won the presidential election.;;;;;;;;;;;;;
EVTDESC8009604;The Republic of Seychelles achieved independence on 29 June 1976. James Mancham was president and France-Albert Rene was prime minister, but relations between the two quickly soured. In 1977 Rene's leftist supporters launched an armed coup while Mancham was in London. Though Rene denied any responsibility, he assumed the presidency in June. Two plots were formulated the following year to depose him, but they failed. In 1979 his party won an election and he pursued a socialist agenda, upsetting the small but influential middle class population. His reign also saw the withdrawal of South Africa's landing rights as well as a deterioration of economic ties between the two countries. Rene frequently warned that sympathizers of the old government were conspiring to use mercenaries to stage a counter-coup. At 17:30 on 25 November 1981, Hoare and 43 mercenaries flew into Seychelles International Airport as AOFB members with baggages filled of toys that were to be supposedly distributed to local orphanages at Pointe La Rue on Mahe, under a South African lead operation nicknamed 'Operation Angela'. All but two of the putschists had made it through customs before their cover was blown. The mercenaries then started a six-hour gun battle at the airport. About 70 present airport staff were taken hostage by the mercenaries.;;;;;;;;;;;;;
EVTDESC8009603;Earlier today insurgents took control of strategic points on the main island of Mahe, where the capital Victoria is located. The central police station has been seized virtually without a shot being fired. In contrast, there has been an exchange of fire at the Mont Fleuri police station, where the arsenal is kept. A policeman and one of the insurgents have been killed in the fighting./n The plotters have arrested six British Armed Forces officers, who had been advising the Seychelles Police Force since 1976, when Seychelles gained independence from the United Kingdom. Should we surrender or crackdown on those rebels?;;;;;;;;;;;;;
EVTDESC8009600;In March 1970, colonial and political representatives of Seychelles met in London for a constitutional convention, with the Seychelles Democratic Party (SDP) of James Mancham advocating closer integration with the UK, and the Seychelles People's United Party (SPUP) of France-Albert Rene advocating independence. Further elections in November 1970 brought a new constitution into effect, with Mancham as Chief Minister. Further elections were held in April 1974, in which both major political parties campaigned for independence. Following this election, negotiations with the British resulted in an agreement under which the Seychelles became an independent republic within the Commonwealth on June 29, 1976.;;;;;;;;;;;;;
EVTDESC8299006;In October 1991, a delegation to East Timor consisting of members of the Assembly of the Republic of Portugal and twelve journalists was planned during a visit from UN Special Rapporteur for Human Rights on Torture, Pieter Kooijmans. The Indonesian Government objected to the inclusion in the delegation of Jill Jolliffe, an Australian journalist who it regarded as supportive of the Fretilin independence movement, and Portugal subsequently cancelled the delegation. Tension between Indonesian authorities and East Timorese youths rose in the days after Portugal's cancellation. On 28 October, Indonesian troops had located a group of resistance members in Dili's Motael Church. A confrontation ensued between pro-integration activists and those in the church, when it was over, one man on each side was dead. During a brief confrontation between Indonesian troops and protesters, some protesters and a major, Geerhan Lantara were stabbed. When the procession entered the cemetery some continued their protests before the cemetery wall. Around 200 more Indonesian soldiers arrived and advanced on the gathering, weapons drawn. In the graveyard, they opened fire on hundreds of unarmed civilians. At least 250 East Timorese were killed in the massacre.;;;;;;;;;;;;;
EVTDESC8000316;In January 1991 following the start of the Gulf War, the FIS led giant demonstrations in support of the Saddam Hussein and Iraq. One ending in front of the Ministry of Defense where radical leader Ali Benhadj gave an impassioned speech demanding a corp of volunteers be sent to fight for Saddam. The Algerian military took this as a direct affront to the military hierarchy and cohesion. After a project to realign electoral districts came to light in May, the FIS called for a general strike. Violence ensued and on 3 June 1991 a state of emergency was declared, many constitutional rights were suspended, and parliamentary elections postponed until December. The FIS participated in the legislative elections and on 26 December 1991 won the first round with 118 deputies elected as opposed to just 16 for the FLN. Despite getting one million fewer votes than it had in 1990 elections. It appeared to be on track to win an absolute majority in the second round on 13 January 1992.;;;;;;;;;;;;;
EVTDESC8000317;On 11 January 1992 the army cancelled the electoral process, forcing President Bendjedid to resign and bringing in the exiled independence fighter Mohamed Boudiaf to serve as a new president. However, on 29 June 1992 he was assassinated by one of his bodyguards, Lieutenant Lambarek Boumaarafi. So many FIS members were arrested - 5,000 by the army's account, 40,000 according to Gilles Kepel and including its leader Abdelkader Hachani-that the jails had insufficient space to hold them in, camps were set up for them in the Sahara desert, and bearded men feared to leave their houses lest they be arrested as FIS sympathizers. Of the few FIS activists that remained free, many took this as a declaration of war.;;;;;;;;;;;;;
EVTDESC8206041;Indonesia began landing paratroops onto the territory of Western New Guinea in December 1961 which prompted a political crisis between the Netherlands and Indonesia. The United States mediated in the dispute and this led to the signing of the New York Agreement in September 1962. The agreement pledged to transfer the administration from the Netherlands to a United Nations temporary authority on 1 October 1962, and gave the United Nations a discretion to transfer all or part of the administration to Indonesia. During the seven month transition period Dutch civil servants and officials were slowly recalled to the Netherlands and were replaced by local and Indonesian officials. The transfer of authority took place on 1 May 1963 and West New Guinea became a province of Indonesia known as Irian Barat, later renamed Irian Jaya.;;;;;;;;;;;;;
EVTDESC1007301;Following the resignation of Indonesian President Suharto, an UN-sponsored agreement between Indonesia and Portugal allowed for an UN-supervised popular referendum in August 1999. A clear vote for independence was met with a punitive campaign of violence by East Timorese pro-integration militia supported by elements of the Indonesian military. On 30 August 2001, the East Timorese voted in their first election organised by the UN to elect members of the Constituent Assembly. On 22 March 2002, the Constituent Assembly approved the Constitution. By May 2002, over 205,000 refugees had returned. On 20 May 2002, the Constitution of the Democratic Republic of East Timor came into force and East Timor was recognised as independent by the UN. The Constituent Assembly was renamed the National Parliament and Xanana Gusmao was sworn in as the country's first President after Indonesian occupation. On 27 September 2002, East Timor was renamed Timor-Leste, using the Portuguese language, and was admitted as a member state by the UN.;;;;;;;;;;;;;
EVTDESC8007322;The Indonesian invasion of East Timor, known in Indonesia as Operation Lotus, began on 7 December 1975 when the Indonesian military invaded East Timor under the pretext of anti-colonialism. Indonesian nationalist and military hardliners, particularly leaders of the intelligence agency Kopkamtib and special operations unit, Opsus, saw the Portuguese coup as an opportunity for East Timor's annexation by Indonesia. Suharto was originally not in support of an East Timor invasion but such considerations became overshadowed by Indonesian and Western fears that victory for the left-wing Fretilin would lead to the creation of a communist state on Indonesia's border that could be used as a base for incursions by unfriendly powers into Indonesia, and a potential threat to Western submarines. The overthrowing of a popular and briefly Fretilin-led government later sparked a violent quarter-century occupation. During the first months of the occupation, the Indonesian military faced heavy insurgency resistance in the mountainous interior of the island, but from 1977-1978, the military procured new advanced weaponry from the United States, Israel, and other countries, to destroy Fretilin's framework.;;;;;;;;;;;;;
EVTDESC8007321;For the Portuguese, East Timor remained little more than a neglected trading post until the late nineteenth century, with minimal investment in infrastructure, health, and education. Sandalwood continued to be the main export crop with coffee exports becoming significant in the mid-nineteenth century. At the beginning of the twentieth century, a faltering home economy prompted the Portuguese to extract greater wealth from its colonies, which was met with East Timorese resistance. Following the 1974 Portuguese revolution, Portugal effectively abandoned its colony in Timor and civil war between East Timorese political parties broke out in 1975. The Revolutionary Front for an Independent East Timor (Fretilin) resisted a Timorese Democratic Union (UDT) coup attempt in August 1975, and unilaterally declared independence on 28 November 1975.;;;;;;;;;;;;;
EVTDESC8014301;After World War II Spain was politically and economically isolated, and was kept out of the United Nations. United Nations Security Council Resolution 7, adopted on June 26, 1946, concerned the impact of Spain's dictatorship on international peace and security. The Second World War had ended the year before. The resolution was adopted in parts, and therefore no vote was taken on the text as a whole.;;;;;;;;;;;;;
EVTDESC201909;The $COUNTRY_ADJ$ Government has decided to remove the strong executive powers that the King currently wields and transfer the power to someone else. The reasons for this act are legion however this has had the effect of ending the Absolute Monarchy that has ruled $COUNTRY$ for some time. The anti-royalists are elated with this development.;;;;;;;;;;;;;
EVTDESC8299002;With the unifying struggle to secure Indonesia's independence over, divisions in Indonesian society began to appear. These included regional differences in customs, religion, the impact of Christianity and Marxism, and fears of Javanese political domination. In contrast to the 1945 Constitution, the 1950 constitution mandated a parliamentary system of government, an executive responsible to parliament, and stipulated at length constitutional guarantees for human rights, drawing heavily on the 1948 United Nations Universal Declaration of Human Rights. A proliferation of political parties dealing for shares of cabinet seats resulted in a rapid turnover of coalition governments including 17 cabinets between 1945 and 1958.;;;;;;;;;;;;;
EVTDESC8299003;Guided Democracy was the political system in place in Indonesia from 1957 until the New Order began in 1966. It was the brainchild of President Sukarno, and was an attempt to bring about political stability. Sukarno believed that parliamentarian system implemented during the liberal democracy period was ineffective due to Indonesia's divisive political situation at that time. Instead, he sought a system based on the traditional village system of discussion and consensus, which occurred under the guidance of village elders. With the introduction of this system, Indonesia returned to the presidential system and Sukarno became the head of government again. Sukarno proposed a threefold blend of nasionalisme ('nationalism'), agama ('religion'), and komunisme ('communism') into a co-operative Nas-A-Kom (or Nasakom) governmental concept. This was intended to appease the three main factions in Indonesian politics - the army, Islamic groups, and the communists.;;;;;;;;;;;;;
EVTDESC8299004;Throughout the 1965-66 period, President Sukarno attempted to restore his political position and shift the country back to its pre-October 1965 position but his Guided Democracy balancing act was destroyed with the PKI's demise. Although he remained president, the weakened Sukarno was forced to transfer key political and military powers to General Suharto, who by that time had become head of the armed forces. In March 1967, the Provisional People's Consultative Assembly (MPRS) named General Suharto acting president. Suharto was formally appointed president in March 1968. Sukarno lived under virtual house arrest until his death in 1970. In the aftermath of Suharto's rise, hundreds of thousands of people were killed or imprisoned by the military and religious groups in a backlash against alleged communist supporters, with direct support from the United States. Suharto's administration is commonly called the New Order era. The features of the "New Order" established from the late 1960s were thus a strong political role for the military, the bureaucratisation and corporatisation of political and societal organisations, and selective but effective repression of opponents.;;;;;;;;;;;;;
EVTDESC8009733;By the mid-1990s it had become clear that the most serious threat to Mahathir's power was the leadership ambition of his deputy, Anwar. Anwar began to distance himself from Mahathir, overtly promoting his superior religious credentials and appearing to suggest he favoured loosening the restrictions on civil liberties that had become a hallmark of Mahathir's premiership. However, Mahathir continued to back Anwar as his successor until their relationship collapsed dramatically during the Asian financial crisis. On 2 September, he was dismissed as deputy prime minister and finance minister, and promptly expelled from UMNO. No immediate reasons were given for the dismissal. As more allegations surfaced, large public rallies were held in support of Anwar. On 20 September, he was arrested and placed in detention under the Internal Security Act. Anwar stood trial on four charges of corruption, arising from allegations that Anwar abused his power by ordering police to intimidate persons who had alleged Anwar had sodomised them. Before Anwar's trial, Mahathir told the press that he was convinced of Anwar's guilt. He was found guilty in April 1999 and sentenced to six years in prison.;;;;;;;;;;;;;
EVTDESC8009730;Mahathir bin Mohamad is a Malaysian politician and statesman who served as the 4th and 7th Prime Minister of Malaysia from July 1981 to October 2003 and from May 2018 to March 2020. During Mahathir's first tenure as prime minister, Malaysia experienced a period of rapid modernisation and economic growth, and his government initiated a series of bold infrastructure projects. Mahathir was a dominant political figure, winning five consecutive general elections and fending off a series of rivals for the leadership of UMNO.However, his accumulation of power came at the expense of judicial independence and the traditional powers and privileges of Malaysia's royalty. He used the controversial Internal Security Act to detain activists, non-mainstream religious figures, and political opponents, including the deputy prime minister whom he fired in 1998, Anwar Ibrahim. Mahathir's record of curbing civil liberties and his antagonism towards western interests and economic policy made his relationships with western nations difficult. As prime minister, he was an advocate of third-world development and a prominent international activist.;;;;;;;;;;;;;
EVTDESC8009731;In 1983, Mahathir commenced the first of a number of battles he would have with Malaysia's royalty during his premiership. The position of Yang di-Pertuan Agong, the Malaysian head of state, was due to rotate in to either the elderly Idris Shah II of Perak or the controversial Iskandar of Johor, who had only a few years earlier been convicted of manslaughter. Thus Mahathir had grave reservations about the two Sultans, who were both activist rulers of their own states. Mahathir tried to pre-emptively limit the power that the new Agong could wield over his government, introducing to parliament amendments to the Constitution to deem the Agong to assent to any bill that had not been assented within 15 days of passage by Parliament. Supported by the Sultans, the Agong refused to assent to the constitutional amendments, which had by then passed both houses of Parliament with comfortable majorities. When the public became aware of the impasse, and the Sultans refused to compromise with the government, Mahathir took to the streets to demonstrate public support for his position in mass rallies. The crisis was resolved after five months as Mahathir and the Sultans agreed to a compromise.;;;;;;;;;;;;;
EVTDESC8009732;Operation Lalang is a major crackdown carried out beginning 27 October 1987 by the Royal Malaysian Police, ostensibly to prevent the occurrence of racial riots in Malaysia. The operation saw the arrest of 106 to 119 people - NGO activists, opposition politicians, intellectuals, students, artists, scientists and others - who were detained without trial under the Internal Security Act (ISA). It was the second largest ISA swoop in Malaysian history since the 13 May riots. The Malaysian government argued that racial tension had reach dangerous proportion in the country, forcing the government to arrest those responsible for stoking the tension. The notion that racial riots were imminent however is contested, and it is widely believed that the operation was designed to control the political opponents of the Prime Minister Mahathir Mohamad through draconian measures. The event marked the beginning of a period of Mahathir's authoritarian rule.;;;;;;;;;;;;;
EVTDESC8009729;The New Economic Policy (NEP) was a social re-engineering and affirmative action program formulated by the National Operations Council (NOC) in the aftermath of 13 May Incident in Malaysia. This policy was adopted in 1971 for a period of 20 years and it was succeeded by the National Development Policy (NDP) in 1991. The NEP was conceived as a two-pronged strategy for eradicating poverty for all Malaysians as well as reducing and subsequently eliminating identification of race by economic function and geographical location. The Policy sought to achieve its objectives through rapid expansion of the economy over time and set its target of substantially reducing the incidence of absolute poverty by 1990. To achieve this, the Policy called for aggressive improvement of economic status and quality of life for all Malaysians. Concurrently, the Policy also called for fairer distribution of opportunities to participate in the widening range of economic activities.;;;;;;;;;;;;;
EVTDESC80097221;Operation Cold Store was the code name for a covert security operation carried out in Singapore on 2 February 1963 which led to the arrest of 113 people, who were detained without trial under the Preservation of Public Service Security Ordinance (PSSO). In official accounts, the operation was a security operation "aimed at crippling the Communist open front organisation," which threatened Singapore's internal security. The operation was authorised by the Internal Security Council which was composed of representatives from the British, Singapore and Malayan Federal governments. The PAP was increasingly divided and these schisms became visible between 1960 and 1961. On 20 July 1961, left-wing members of the PAP defected from the PAP after Lee Kuan Yew's call for a motion of confidence in the government. Most of these members later formed the Barisan Sosialis (Barisan) on 30 July 1961, led by Lim Chin Siong. As many of the members who defected to the Barisan were prominent grassroots leaders, the Barisan had a strong support base and became a strong opposition party to the PAP. Given the Barisan's large support base, political onlookers speculated that the Barisan could potentially win the 1963 General Election. The British colonial records revealed that Lee Kuan Yew felt threatened by the powerful left-wing movements and had on several occasions tried to remove his opponents by invoking the PSSO to detain his opponents.;;;;;;;;;;;;;
EVTDESC80097222;The 1964 Singapore Riots refer to a series of communal race-based civil disturbances between the Malays and Chinese in Singapore following its merger with Malaysia in 1963, and were considered to be the "worst and most prolonged in Singapore's postwar history". The UMNO and the Malaysian Federal government blamed the Indonesian forces for stirring up potential conflict among the Malay Kampong regions. From the Malaysian government's point of view, Lee Kuan Yew and PAP were responsible for instigating these series of riots and discontent among the Malay community in Singapore. UMNO and Tun Razak had attributed to the Malay's anger and hostility towards the Chinese and Lee Kuan Yew's former speech made on 30 June 1964 for passing inflammatory remarks of the UMNO's communal politics. However, the American Embassy had refuted these claims by stating that Utusan Melayu could have misquoted Lee's speech. The racial riots subsided by 24 July 1964, as the number of communal clashes reported was reduced to seven cases. On 2 August, the imposition of the curfew since 21 July was completely lifted and the high police and military supervision removed.;;;;;;;;;;;;;
EVTDESC8001900;Lee Kuan Yew was a Singaporean politician and lawyer who served as the first Prime Minister of Singapore from 1959 to 1990. As one of the founding members of the People's Action Party, Lee is recognised as the nation's founding father, credited with rapidly transitioning the country from a "developing third world country into a developed first world country within a single generation" under his leadership. Lee's rule was criticised for curtailing civil liberties (media control and limits on public protests) and bringing libel suits against political opponents. He argued that such disciplinary measures were necessary for political stability which, together with the rule of law, were essential for economic progress. Lee had once responded to critics of his style saying: "Anybody who decides to take me on needs to put on knuckle-dusters. If you think you can hurt me more than I can hurt you, try. There is no other way you can govern a Chinese society".;;;;;;;;;;;;;
EVTDESC8002901;The Brunei revolt was a December 1962 insurrection in the British protectorate of Brunei by opponents of its monarchy and its proposed inclusion in the Federation of Malaysia. The insurgents were members of the TNKU (North Kalimantan National Army), a militia supplied by Indonesia and linked to the leftwing Brunei People's Party (BPP), which favoured a North Borneo Federation. The TNKU began co-ordinated attacks on the oil town of Seria (targeting the Royal Dutch Shell oil installations), on police stations, and on government facilities around the protectorate. The revolt began to break down within hours, having failed to achieve key objectives such as the capture of Brunei town and Sultan Omar Ali Saifuddien III. The revolt influenced the Sultan's 1963 decision not to join Malaysia. It is seen as one of the first stages of the Indonesia-Malaysia confrontation.;;;;;;;;;;;;;
EVTDESC8009703;In Malaya, between 1955 and 1956, UMNO, the MCA and the British hammered out a constitutional settlement for a principle of equal citizenship for all races. In exchange, the MCA agreed that Malaya's head of state would be drawn from the ranks of the Malay Sultans, that Malay would be the official language, and that Malay education and economic development would be promoted and subsidised. In effect, this meant that Malaya would be run by the Malays, particularly since they continued to dominate the civil service, the army and the police, but that the Chinese and Indians would have proportionate representation in the Cabinet and the parliament, would run those states where they were the majority, and would have their economic position protected. The difficult issue of who would control the education system was deferred until after independence. This came on 31 August 1957, when Tunku Abdul Rahman became the first Prime Minister of independent Malaya.;;;;;;;;;;;;;
EVTDESC8009719;From 1946 to 1948, the eleven states formed a single British crown colony known as the Malayan Union. Due to opposition from Malay nationalists, the Union was disbanded and replaced by the Federation of Malaya, which restored the symbolic positions of the rulers of the Malay states. The Federation of Malaya Agreement was formulated by the British-Malay Pleno Conference between June and December 1946. At the end of the meeting, the Pleno Conference produced a 100-page "Blue Book." It was signed on 21 January 1948 at King House by the Malay rulers, and by Sir Edward Gent as the representative of the British government. The Agreement superseded the Agreement creating the Malayan Union, and prepared for the establishment of the Federation of Malaya on 1 February 1948. The position of the Malay rulers was also restored.;;;;;;;;;;;;;
EVTDESC8009723;The Singapore state government and the Malaysian central government disagreed on many political and economics issues, leading to discontent that culminated in the 1964 race riots in Singapore. The union was unstable due to distrust and ideological differences between the leaders of Singapore and of the federal government of Malaysia. After much heated ideological conflicts between the two governments, on 9 August 1965, the Malaysian Parliament voted 126 to 0 to expel Singapore from Malaysia with Singaporean delegates not present. These culminated in the decision by Malaysian Prime Minister Tunku Abdul Rahman to expel Singapore from the Federation, and on 9 August 1965, Singapore became the first and only modern country to date to gain independence unwillingly.;;;;;;;;;;;;;
EVTDESC8009728;The 13 May 1969 incident was the Sino-Malay sectarian violence that took place in Kuala Lumpur (then part of the state of Selangor), Malaysia on that date in 1969. The riot occurred in the aftermath of the 1969 Malaysian general election when opposition parties made gains at the expense of the ruling coalition, the Alliance Party. Official reports put the number of deaths due to the riots at 196, although Western diplomatic sources at the time suggested a toll of close to 600, with most of the victims Chinese. The racial riots led to a declaration of a state of national emergency or Darurat by the Yang di-Pertuan Agong resulting in the suspension of the Parliament by the Malaysian government, while the National Operations Council (NOC), also known as the Majlis Gerakan Negara (MAGERAN), was established as a caretaker government to temporarily govern the country between 1969 and 1971. In an attempt to form a broader coalition, the Barisan Nasional was formed in place of the Alliance Party, with former opposition parties such as Gerakan, PPP, and PAS invited to join the coalition. After the 1969 riot, UMNO also began to restructure the political system to reinforce its power along the principle of Ketuanan Melayu which galvanised Malay support for the party.;;;;;;;;;;;;;
EVTDESC8001960;Francois Tombalbaye ruled the country during its independence on August 11, 1960, and was appointed its first head of government. Tombalbaye managed to create a coalition of progressive forces from both the north and south of the country and isolating the more conservative Islamic factions in the center as a colonial legislator. After independence, he adopted an autocratic form of government, eliminated opposition both within his party and outside his party by banning all other political parties. In 1963 Tombalbaye dissolved the National Assembly in response to rioting. He began nationalizing the civil service, replacing French administrators with less competent locals. He imposed a "National Loan", greatly increasing taxing, to fund the nationalisation.;;;;;;;;;;;;;
EVTDESC8001961;In order to maintain power, Tombalbaye heavily relied on French support. The Chadian Armed Forces were formed by Chadian veterans of the French military, and continued to receive training and equipment from France. In fact, France maintained a significant military presence in the country, and the nascent Chadian Air Force's first pilots were French. By 1968, Tombalbaye's military forces consisted of the 1,200-strong Chadian Armed Forces, the 700-strong Gendarmerie, the National and Nomadic Guard, and 120 French soldiers. This resentment at last exploded in Mangalme riots, a tax revolt on November 1, 1965, in the Guera Prefecture, causing 500 deaths. The year after saw the birth in Sudan of the National Liberation Front of Chad (FROLINAT), created to militarily oust Tombalbaye and the Southern dominance. It was the start of a bloody civil war. Tombalbaye then, to try and pacify the people, granted limited autonomy to northern Muslim leaders and released several political prisoners. These changes only added more leaders and rebels to the growing movement.;;;;;;;;;;;;;
EVTDESC8001962;The 1975 Chadian coup d'etat was in considerable part generated by the growing distrust of the President of Chad, Francois Tombalbaye, for the army. This distrust came in part from the Chadian Armed Forces (FAT) incapacity to deal with the rebellion that was inflaming the Muslim north from when the rebel insurgent group FROLINAT had been formed in 1966. The coup started before sunrise on April 13 when in Boraho, a locality 35 miles from the capital, army units led by Lieutenant Dimtolaum left their base and moved towards N'Djamena, where they converged on the President's white-walled palace on the edge of the city. At 5:00 a furious and bloody battle started with Tombalbaye's presidential guard, the Compagnies Tchadiennes de Securite (CTS). Decisive in deciding the outcome of the battle was the arrival of the interim commander of the FAT, Noel Milarew Odingar, who brought reinforcements and assumed command of the insurgents. At 8:30 Colonel Selebiani, head of the CTS, issued an appeal on the radio for his men to surrender;;;;;;;;;;;;;
EVTDESC8001963;Deby moved to Sudan and formed the Patriotic Salvation Movement, an insurgent group, supported by Libya and Sudan, which started operations against Habre in October 1989. He unleashed a decisive attack on 10 November 1990, and on 2 December Deby's troops marched unopposed into the capital, N'Djamena. Idriss Deby assumed Chad's presidency in 1990, and has been re-elected with a majority of votes every five years. After three months of provisional government, on 28 February 1991, a charter was approved for Chad with Deby as president. Deby, in the mid-1990s, gradually restored basic functions of government and entered into agreements with the World Bank and IMF to carry out substantial economic reforms. A new constitution was approved by referendum in March 1996, followed by a presidential election in June. Deby placed on the first round but fell short of a majority, he was then elected president in the second round, held in July, with 69% of the vote.;;;;;;;;;;;;;
EVTDESC8001964;in 1996 Idriss Deby, a northerner, was confirmed president in Chad's first democratic election. In 1998 an armed rebellion began in the north, led by President Deby's former defence chief, Youssouf Togoimi. A Libyan peace deal in 2002 failed to put an end to the fighting. In 2003, conflict in the neighbouring Darfur region in Sudan leaked across the border into Chad. Refugees from Sudan were joined by Chadian civilians who were trying to escape rebel violence and eventually filled the camps. It was clear that Chad's rebels received weapons and assistance from the government of Sudan. At the same time, Sudan's rebels got help from Chad's government. In February 2008, three rebel groups joined forces and launched an attack on Chad's capital, N'Djamena. After launching an assault that failed to seize the presidential palace, the attack was decisively repulsed. France sent in troops to shore up the government. Many of the rebels were former allies of President Idriss Deby. They accused him of corruption towards members of his own tribe.;;;;;;;;;;;;;
large_irrigation_system;Irrigation System;;;;;;;;;;;;;
great_man_made_river_title;Build the Great Man-Made River;;;;;;;;;;;;;
great_man_made_river_desc;The Great Man-Made River is a network of pipes that supplies fresh water obtained from the Nubian Sandstone Aquifer System fossil aquifer across Libya. It is the world's largest irrigation project. The project utilises a pipeline system that pumps water from the Nubian Sandstone Aquifer System from down south in Libya to cities in the populous Libyan northern Mediterranean coast including Tripoli and Benghazi. The water covers a distance of up to 1,600 kilometers and provides 70% of all freshwater used in Libya. According to its website, it is the largest underground network of pipes (2,820 kilometres) and aqueducts in the world. It consists of more than 1,300 wells, most more than 500 m deep, and supplies 6,500,000 m3 of fresh water per day to the cities of Tripoli, Benghazi, Sirte and elsewhere. The late Libyan Leader Muammar Gaddafi described it as the "Eighth Wonder of the World".;;;;;;;;;;;;;
EVTDESC8022729;Three Croatian linguists, Stjepan Babi?, Bozidar Finka and Milan Mogush, published a spelling and grammar textbook in September 1971 called Hrvatski pravopis (Croatian Orthography), rather than the Srpskohrvatski (Serbo-Croatian). It was summarily banned, and virtually all copies were destroyed. However, a surviving copy found its way to London where it was reprinted and published in 1972. The Yugoslav leadership interpreted the whole affair as a restoration of Croatian nationalism, dismissed the movement as chauvinistic and had the police brutally suppress the demonstrators. Two thousand people were criminally prosecuted in Croatia in 1972 and 1973 for participation in these events. In 1972, more than 25,000 people were expelled from the League of Communists of Croatia. The social and political conservative forces engaged in a repression that prevented the final reforms that would have made Yugoslavia a true federation of sovereign republics and provinces.;;;;;;;;;;;;;
EVTDESC8022728;Between 1945-1966, Rankovi? upheld Serbian minority control of mainly Albanian inhabited Kosovo through repressive anti-Albanian policies by the secret police. In Kosovo, the period 1947-1966 is colloquially known as "the Rankovi? era". During this time Kosovo became a police state under Rankovi? and his secret police force. Opposition grew to his rigid policies on Kosovo and also for policies undertaken in Croatia and Slovenia. Over time, evidence against Rankovi? was collected by his opponents. The situation ended in July 1966 with the removal of Rankovi? and his associates from their positions. Rankovi? was dismissed from the communist party (SKJ) and prohibited from participating in public functions. Yugoslav authorities stopped short of criminally prosecuting Rankovi? through a trial. The events around the dismissal of Rankovi? were depicted by the communist government as case of "Greater Serbian hegemony".;;;;;;;;;;;;;
serbian_krajina_title;Unite with Serbian Krajina;;;;;;;;;;;;;
serbian_krajina_desc;The Republic of Serbian Krajina was a self-proclaimed Serb proto-state, a territory within the newly independent Croatia (formerly part of Yugoslavia), which it defied, and which was active during the Croatian War (1991-95). It was not recognized internationally. The name Krajina ("Frontier") was adopted from the historical Military Frontier of the Habsburg Monarchy and Austria-Hungary, which had a substantial Serb population and existed up to the late 19th century. The RSK government waged a war for ethnic Serb independence from Croatia and unification with FR Yugoslavia and Republika Srpska (in Bosnia and Herzegovina).;;;;;;;;;;;;;
serbian_srpska_title;Unite with Republika Srpska;;;;;;;;;;;;;
serbian_srpska_desc;The Republika Srpska was a proto-state in Southeastern Europe under the control of the Army of Republika Srpska during the Bosnian War. It claimed to be a sovereign state, though this claim was not recognised by the Bosnian government (whose territory the RS was recognized as nominally being a part of), the United Nations, or any other recognised state. After 1995, the RS is recognized as one of the two political entities composing Bosnia and Herzegovina. The borders of the post-1995 RS are, with a few negotiated modifications, based on the front lines and situation on the ground at the time of the Dayton Agreement.;;;;;;;;;;;;;
croatian_bosnia_title;Unite with Herzeg-Bosnia;;;;;;;;;;;;;
