CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
capital_of_israel_title;성지;The Holy City;;;;;;;;x;;;;;;;;;;;;;
capital_of_israel_desc;요르단이 중동 전쟁에서 요르단강 서안과 동예루살렘을 불법적으로 점령했을 때, 그들은 성지에서의 유대인의 기도를 막음으로써 하늘에 죄를 범했습니다. 더 나쁜 것은, 그들이 솔로몬 신전의 유일한 흔적인 서쪽 성벽 밖에 빈민가를 조성했다는 것입니다. 역사는 예루살렘이 분열되면 유대인들의 학살과 국가적 굴욕도 따라온다는 사실을 알려줍니다. 유럽의 집단학살 같은 역사가 반복되지 않도록 할 것입니다. $COUNTRY$은(는) 예루살렘을 분단되지 않는 영원한 수도로 선포해야 합니다.;When Jordan unlawfully seized the West Bank and East Jerusalem following the Arab-Israeli War, they committed a crime against Heaven by blocking the Jewish people from prayer at its holy sites. Even worse, they have created a slum outside the Western Wall, the only remnant of the Temple of Solomon. History shows us that, while Jerusalem is divided, massacres of the Jews and national humiliation is unavoidable. Like the pogroms of Europe, we will ensure this history does not repeat - we have our strength through the State of $COUNTRY$, and must proclaim Jerusalem our undivided, eternal capital.;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_NAME;이슬람 원리주의자 알제리 내전 승리;Islamist Victory in the Algerian Civil War;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_DESC;알제리 내전은 일차적으로 정부와 이슬람 반군 간의 내전입니다. 반군은 나뉘었지만, 이들 가운데 승리한 집단은 다른 파벌들과 달리 이슬람국가 창설을 추구했고, 정부를 압박하는 대신 불안정하게 만들고 전복시켜 성소를 '정화'하려 했습니다. 그들의 구호는 "합의도, 휴전도, 대화도 없다"였습니다. 이들은 전반적으로 불안한 분위기를 조성하고 테러범들을 고용해 보안군은 물론 민간인을 겨냥했습니다. 이를 통해 자신들의 영토를 통제하면서 서방세계에 테러를 가하고 모든 이슬람 세계를 하나로 묶을 계획입니다.;The Algerian Civil War was primarily a war between the government and Islamist rebels. The opposition was fractured, but the ultimately victorious group, unlike the other factions, pursued the creation of an Islamic state and did not seek to pressure the government into concessions but to destabilise and overthrow it, to "purge the land of the ungodly." Their slogan inscribed on all communiques was: "no agreement, no truce, no dialogue." The group created an atmosphere of general insecurity and employed terrorism, targeting not only security forces but civilians. Now, in control of their own territory, they plan to bring terror to the West and unite all Islam.;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_A;그리고 그것은 정확히 우리가 할 일이다.;And that is precisely what we will do;;;;;;;;x;;;;;;;;;;;;;
EVT_8007700_NAME;인구학적 위기;Demographic crisis;;;;;;;;;;x
EVT_8007677_NAME;6일 전쟁 패배;Defeat in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007677_DESC;이스라엘은 6일 간의 전쟁 끝에 골란고원에서의 마지막 공세를 끝냈고, 그 다음날 휴전을 체결했습니다. 이스라엘은 가자지구, 시나이반도, 요르단강 서안(동예루살렘 포함), 골란고원을 점령했습니다. 전반적으로, 이스라엘의 영토는 3배 성장했는데, 단적으로 새 점령지의 아랍인 약 100만 명이 이스라엘의 직접적인 지배하에 놓였습니다. 이스라엘의 전략적 표면은 적어도 남쪽 300km, 동쪽 60km, 북쪽 20km의 극도로 험준한 지형까지 성장했는데, 이는 6년 뒤 욤키푸르 전쟁에서 유용하게 쓰일 안보 자산입니다.;Historically, after six days of the conflict, Israel had completed its final offensive in the Golan Heights, and a ceasefire was signed the day after. Israel had seized the Gaza Strip, the Sinai Peninsula, the West Bank of the Jordan River (including East Jerusalem), and the Golan Heights. Overall, Israel's territory grew by a factor of three, including about one million Arabs placed under Israel's direct control in the newly captured territories. Israel's strategic depth grew to at least 300 kilometers in the south, 60 kilometers in the east, and 20 kilometers of extremely rugged terrain in the north, a security asset that would prove useful in the Yom Kippur War six years later.;;;;;;;;;;X
EVT_8007677_A;아랍세계 전체의 패배다.;It is defeat of the whole Arab world;;;;;;;;;;X
EVT_8007678_NAME;6일 전쟁 패배;Defeat in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007678_DESC;이스라엘은 6일 간의 전쟁 끝에 골란고원에서의 마지막 공세를 끝냈고, 그 다음날 휴전을 체결했습니다. 이스라엘은 가자지구, 시나이반도, 요르단강 서안(동예루살렘 포함), 골란고원을 점령했습니다. 전반적으로, 이스라엘의 영토는 3배 성장했는데, 단적으로 새 점령지의 아랍인 약 100만 명이 이스라엘의 직접적인 지배하에 놓였습니다. 이스라엘의 전략적 표면은 적어도 남쪽 300km, 동쪽 60km, 북쪽 20km의 극도로 험준한 지형까지 성장했는데, 이는 6년 뒤 욤키푸르 전쟁에서 유용하게 쓰일 안보 자산입니다.;"Historically, after six days of the conflict, Israel had completed its final offensive in the Golan Heights, and a ceasefire was signed the day after. Israel had seized the Gaza Strip, the Sinai Peninsula, the West Bank of the Jordan River (including East Jerusalem), and the Golan Heights. Overall, Israel's territory grew by a factor of three, including about one million Arabs placed under Israel's direct control in the newly captured territories. Israel's strategic depth grew to at least 300 kilometers in the south, 60 kilometers in the east, and 20 kilometers of extremely rugged terrain in the north, a security asset that would prove useful in the Yom Kippur War six years later.;;;;;;;;;;X
EVT_8007678_A;아랍세계 전체의 패배다.;It is defeat of the whole Arab world;;;;;;;;;;X
EVT_8007679_NAME;6일 전쟁 패배;Defeat in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007679_DESC;이스라엘은 6일 간의 전쟁 끝에 골란고원에서의 마지막 공세를 끝냈고, 그 다음날 휴전을 체결했습니다. 이스라엘은 가자지구, 시나이반도, 요르단강 서안(동예루살렘 포함), 골란고원을 점령했습니다. 전반적으로, 이스라엘의 영토는 3배 성장했는데, 단적으로 새 점령지의 아랍인 약 100만 명이 이스라엘의 직접적인 지배하에 놓였습니다. 이스라엘의 전략적 표면은 적어도 남쪽 300km, 동쪽 60km, 북쪽 20km의 극도로 험준한 지형까지 성장했는데, 이는 6년 뒤 욤키푸르 전쟁에서 유용하게 쓰일 안보 자산입니다.;"Historically, after six days of the conflict, Israel had completed its final offensive in the Golan Heights, and a ceasefire was signed the day after. Israel had seized the Gaza Strip, the Sinai Peninsula, the West Bank of the Jordan River (including East Jerusalem), and the Golan Heights. Overall, Israel's territory grew by a factor of three, including about one million Arabs placed under Israel's direct control in the newly captured territories. Israel's strategic depth grew to at least 300 kilometers in the south, 60 kilometers in the east, and 20 kilometers of extremely rugged terrain in the north, a security asset that would prove useful in the Yom Kippur War six years later.;;;;;;;;;;X
EVT_8007679_A;아랍세계 전체의 패배다.;It is defeat of the whole Arab world;;;;;;;;;;X
EVT_8007680_NAME;6일 전쟁 승리;Victory in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007680_DESC;이스라엘은 선제공격을 잘못 계산했고, 아랍권 연합군은 이스라엘 영토 깊숙이 반격했습니다. 국제사회는 우리가 이스라엘을 완전히 근절할 가능성을 부정하지만, 팔레스타인 아랍인들이 고향에서 평화와 번영을 누리도록 할 수는 있습니다.;Israel has miscalculated its pre-emptive strike and the coalition of Arab forces prevailed, counterattacking deep into Israeli territory. International community denies us the possibility of eradicating Israeli state once and for all but we may at least make sure that Arabs in Palestine leave in peace and prosperity, in their own country.;;;;;;;;;;X
EVT_8007680_A;평화의 때다.;It is time for peace;;;;;;;;;;X
EVT_8007681_NAME;6일 전쟁 패배;Defeat in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007681_DESC;우리가 선제공격을 잘못 계산한 탓에, 아랍권 연합군은 국내 영토 깊숙이 반격했습니다. 국제사회는 그들이 우리를 완전히 근절할 가능성을 부정하지만, 이스라엘과 팔레스타인에 대한 경계선을 우리에게 유리하게 설정해야 합니다.;We have miscalculated our pre-emptive strike and the coalition of Arab forces prevailed, counterattacking deep into our territory. International community denies them the possibility of dealing us the final blow but we will be forced to carry out what we feared, a demarcation of Israeli and Palestinian states across lands that we deem ours.;;;;;;;;;;X
EVT_8007681_A;알았다.;OK;;;;;;;;;;X
EVT_8007682_NAME;이민자의 물결;Inflow of immigrants;;;;;;;;;;X
EVT_8007682_DESC;'사회주의 폴란드와 제국주의 이스라엘에 대한 충성심은 동시에 불가능합니다... 이민을 통해 이러한 결과에 직면하려 하는 사람은 어떠한 장애도 마주치지 않을 것입니다.'2차 세계대전 말기 대부분의 폴란드 유대인들이 이스라엘로 이주해왔습니다. 집단적으로, 그들은 점점 더 동화되고 세속화됐습니다. 폴란드에 머물렀던 유대인 대부분이 그렇게 하는데는 정치적, 직업적 이유가 있었습니다. 그들의 상황은 6일 전쟁과 1968년 폴란드 학계의 반란 이후 바뀌었는데, 이 반란에서 유대인들은 전쟁 중인 당파들에게 희생양으로 이용돼 이민을 강요받았습니다.;'Loyalty to socialist Poland and imperialist Israel is not possible simultaneously... Whoever wants to face these consequences in the form of emigration will not encounter any obstacle.'\nMost Polish Jews who claimed their nationality status at the end of World War II had emigrated from postwar Poland already. As a group, they had become increasingly assimilated and secular and had well-developed and functioning secular institutions. Of the Jews who stayed in Poland, many had political and career reasons for doing so. Their situation changed after the 1967 Arab-Israeli war and the 1968 Polish academic revolt, in which the Jews were used as scapegoats by the warring party factions and pressured to emigrate once more.;;;;;;;;;;X
EVT_8007682_A;동포들을 환영한다.;We welcome our brothers;;;;;;;;;;X
EVT_8007683_NAME;욤키푸르 전쟁;Yom Kippur War;;;;;;;;;;X
EVT_8007683_DESC;1970년 9월 이집트의 가말 압델 나세르 대통령의 사후, 안와르 사다트가 그 자리르 계승했습니다. 1971년 사다트는 국제연합의 중재자 군나르 자링의 제안에 따라 이스라엘이 점령지에서 철수하고 팔레스타인 반란에 대한 해결책을 약속한다면 위임통치령 해체 이후 양국간에 존재했던 전쟁 상태를 종식하겠다고 선언했습니다. 이스라엘은 이러한 제안을 부인했습니다. 사다트는 이스라엘에게 제한적인 패배라도 가해 현 상태의 변화를 바랐습니다. 그는 시나이반도의 수복을 위해 '백만명의 이집트 병사들을 희생시킬 준비가 돼있다'고 선언했습니다. 1972년 말부터 이집트는 병력을 증강하기 시작했습니다.;President Gamal Abdel Nasser of Egypt died in September 1970 and was succeeded by Anwar Sadat. In 1971, Sadat, in response to an initiative by UN intermediary Gunnar Jarring, declared that if Israel committed itself to withdrawal from occupied territories and a solution for Palestinian refugess, Egypt would end the state of war that had existed between the two countries since the end of the Mandate. Israel denied this proposal. Sadat hoped that by inflicting even a limited defeat on the Israelis, the status quo could be altered. He declared that Egypt was prepared to 'sacrifice a million Egyptian soldiers' to recover its lost territory. From the end of 1972, Egypt began a concentrated effort to build up its forces.;;;;;;;;;;X
EVT_8007683_A;이번에는 우리가 이길테니, 전쟁이다!;This time we will prevail, this is WAR!;;;;;;;;;;X
EVT_8007683_B;이대로 두는 것이 좋다.;Better leave things as they are;;;;;;;;;;X
EVT_8007684_NAME;욤키푸르 전쟁;Yom Kippur War;;;;;;;;;;X
EVT_8007684_DESC;이스라엘의 일반적인 전략은 전쟁이 임박하면 이스라엘이 선제공격을 펼친다는 선입견을 바탕으로 합니다. 이스라엘 정보국은 최악의 경우 아랍이 공격 약 48시간 전에 통보할 것으로 추정했습니다. 이번에도 아랍의 공격이 의심됐지만 확신은 거의 없었습니다. 이스라엘은 미국에게 정치적 압력을 통해 선제공격을 가하지 않겠다고 확신시켰습니다. 이는 석유수출국기구의 석유에 의존하는 다른 선진국들이 이들의 불매운동의 위협으로 인해 이스라엘로의 군수품을 공급을 중단했고, 그 결과 미국의 군사적 지원에 전적으로 의존하게 됐기 때문입니다. 이스라엘은 특히 양국의 관계를 위태롭게 하는 모든 것에 민감하게 반응했습니다.;The Israeli general strategy was, for the most part, based on the precept that if war was imminent, Israel would launch a pre-emptive strike. It was assumed that Israel's intelligence services would give, in the worst case, about 48 hours notice prior to an Arab attack. This time, the Arab attack was suspected but the level of confidence was low. Israel assured America, under political pressure, that it would not go for a preemptive strike. This was crucial, as other developed nations, being more dependent on OPEC oil, had stopped supplying Israel with munitions under threat of an OPEC boycott. As a result, Israel was totally dependent on the United States for military resupply, and particularly sensitive to anything that might endanger that relationship.;;;;;;;;;;X
EVT_8007684_A;충격을 받았고 준비도 마치지 않았다.;We are shocked and unprepared;;;;;;;;;;X
EVT_8007685_NAME;욤키푸르 전쟁;Yom Kippur War;;;;;;;;;;X
EVT_8007685_DESC;사다트는 이스라엘에게 제한된 패배라도 가함으로써 현 상태가 변화될 수 있기를 바랐습니다. 한편 시리아의 지도자 하페즈 알 아사드는 협상에는 관심이 없었고 골란고원 탈환만을 생각했습니다. 아사드는 6일 전쟁 이후 대규모 군사력 증강에 나섰고, 시리아를 아랍 국가들의 우세한 군사력의 일부로 만들기를 희망했습니다. 아사드는 시리아군이 이집트의 도움을 받아 이스라엘에 승리하면, 골란고원에서의 통치권을 확보할 수 있다고 생각했습니다. 아사드는 골란고원을 무력으로 되찾은 후에야 협상을 시작했는데, 이는 이스라엘에게 요르단강 서안과 가자지구를 포기하게끔 유도할 것입니다.;Sadat hoped that by inflicting even a limited defeat on the Israelis, the status quo could be altered. Hafez al-Assad, the leader of Syria, had a different view. He had little interest in negotiation and felt the retaking of the Golan Heights would be a purely military option. After the Six-Day War, Assad had launched a massive military buildup and hoped to make Syria the dominant military power of the Arab states. With Egypt's aid, Assad felt that his new army could win convincingly against Israel and thus secure Syria's role in the region. Assad only saw negotiations beginning once the Golan Heights had been retaken by force, which would induce Israel to give up the West Bank and Gaza, and make other concessions.;;;;;;;;;;X
EVT_8007685_A;아랍 국가들과 함께한다.;Join the Arab brothers;;;;;;;;;;X
EVT_8007685_B;지금은 때가 아니다.;Stay out this time;;;;;;;;;;X
EVT_8007686_NAME;욤키푸르 전쟁;Yom Kippur War;;;;;;;;;;X
EVT_8007686_DESC;전쟁은 이집트가 수에즈 운하를 성공적으로 횡단하면서 시작됐습니다. 휴전선을 넘은 이집트군은 사실상 저항을 받지 않고 시나이반도로 진격했습니다. 3일 후에야 이스라엘은 대부분의 병력을 동원했고 전황을 교착시켜 이집트의 공세를 가까스로 막아냈습니다. 시리아인는 이집트의 공세에 맞춰 골란고원에 대한 공격을 조정했고, 이스라엘이 장악한 영토를 탈환하면서 위협을 취했습니다. 하지만 사흘 만에 이스라엘군은 시리아를 전쟁 전의 휴전선으로 다시 밀어내는 데 성공했습니다.;The war began with a massive and successful Egyptian crossing of the Suez Canal. After crossing the cease-fire lines, Egyptian forces advanced virtually unopposed into the Sinai Peninsula. After three days, Israel had mobilized most of its forces and managed to halt the Egyptian offensive, settling into a stalemate. The Syrians coordinated their attack on the Golan Heights to coincide with the Egyptian offensive and initially made threatening gains into Israeli-held territory. Within three days, however, Israeli forces had managed to push the Syrians back to the pre-war ceasefire lines.;;;;;;;;;;X
EVT_8007686_A;처음의 충격에서 벗어났다.;We recover after the initial shock;;;;;;;;;;X
EVT_8007687_NAME;이스라엘 욤키푸르 전쟁 승리;Total Israeli victory in Yom Kippur War;;;;;;;;;;X
EVT_8007687_DESC;초기 실패에도 불구하고 이집트와 시리아에서의 반격은 엄청나게 성공적이었으며, 아랍 군대들은 완패했습니다. 평화의 조건을 명기하고 6일 전쟁 이후 점령한 우리의 모든 영토를 지킬 수 있습니다.;In spite of initial setbacks, our counterattacks in Egypt and Syria proved immensely successful and Arab armies are in full rout. We are in position to dictate terms of peace and keep all of our territories that we have occupied since the Six-Day War.;;;;;;;;;;X
EVT_8007687_A;알았다.;OK;;;;;;;;;;X
EVT_8007689_NAME;이스라엘 욤키푸르 전쟁 승리;Total Israeli victory in Yom Kippur War;;;;;;;;;;X
EVT_8007689_DESC;초기 실패에도 불구하고 그들의 이집트와 시리아에서의 반격은 엄청나게 성공적이었으며, 아랍 군대들은 완패했습니다. 그들은 평화의 조건을 명기하고 6일 전쟁 이후 점령한 우리의 모든 영토를 지킬 수 있습니다.;In spite of initial setbacks, Israeli counterattacks in Egypt and Syria proved immensely successful and our armies are in full rout. They are in position to dictate terms of peace and keep all of the territories that they have occupied since the Six-Day War.;;;;;;;;;;X
EVT_8007689_A;알았다.;OK;;;;;;;;;;X
EVT_8007690_NAME;아랍 욤키푸르 전쟁 승리;Total Arab victory in Yom Kippur War;;;;;;;;;;X
EVT_8007690_DESC;처음으로 작전을 성공적으로 추진한 아랍군은 준비하지 못한 이스라엘 방위군과 대치했고, 이스라엘 영토 깊숙이 침투했습니다. 평화의 조건을 명기하고 1967년에 잃은 영토를 되찾을 수 있습니다.;Beginning with the successful initial thrust, the Arab forces faced only unprepared Israeli defence forces, and went deep into Israeli territory. We are in position to dictate terms of peace and reclaim the territories lost in 1967.;;;;;;;;;;X
EVT_8007690_A;알았다.;OK;;;;;;;;;;X
EVT_8007691_NAME;아랍 욤키푸르 전쟁 승리;Total Arab victory in Yom Kippur War;;;;;;;;;;X
EVT_8007691_DESC;처음으로 작전을 성공적으로 추진한 아랍군은 준비하지 못한 이스라엘 방위군과 대치했고, 이스라엘 영토 깊숙이 침투했습니다. 그들은 평화의 조건을 명기하고 1967년에 잃은 영토를 되찾을 수 있습니다.;Beginning with the lamentable initial thrust, the Arab forces faced only our unprepared defence forces and went deep into our territory. They are in position to dictate terms of peace and reclaim the territories list in 1967.;;;;;;;;;;X
EVT_8007691_A;알았다.;OK;;;;;;;;;;X
EVT_8007692_NAME;욤키푸르 전쟁 정전;Yom Kippur War ceasefire;;;;;;;;;;X
EVT_8007692_DESC;10월 24일, 국제연합 안전보장이사회는 모든 당사국들이 정전조건 준수할 것을 재차 촉구한 결의안 339호를 통과시켰습니다. 이집트 전선에서의 격렬한 전투는 대부분 10월 26일까지 끝났지만, 휴전선을 따라 소규모의 충돌과 공습이 있었습니다. 이스라엘이 일부 진전을 이룬 가운데 미국은 국제연합 탈퇴 결의안을 지지하겠다고 위협했지만, 이스라엘이 호응하기도 전에 이집트에서 놀라운 메시지를 보냈습니다. 이스라엘과의 대화에 기꺼이 뛰어든 것입니다. 시나이반도를 비무장지대로 반환하면 이스라엘에 대한 영유권을 포기할 것이며, 이스라엘을 공인하는 동시에 독립선언 이후 존재했던 전쟁 상태를 종식하겠다고 밝혔습니다.;On October 24, the UNSC passed Resolution 339, serving as a renewed call for all parties to adhere to the proposed ceasefire terms. Most heavy fighting on the Egyptian front ended by October 26, but clashes along the ceasefire lines and a few airstrikes took place. With some Israeli advances taking place, America threatened to support a UN withdrawal resolution, but before Israel could respond, Egyptians sent a stunning message - Egypt was willing to enter into direct talks with Israel. If we return the Sinai peninsula as a demilitarized zone, they will abandon any other claims they have on our territory, and formally recognize us and end the state of war that has existed since the Declaration of Independence.;;;;;;;;;;X
EVT_8007692_A;공평하게 들리는군.;Land for peace, sounds fair;;;;;;;;;;X
EVT_8007692_B;죽음으로의 전쟁이다!;This is a war to the death!;;;;;;;;;;X
EVT_8007693_DESC;10월 24일, 국제연합 안전보장이사회는 모든 당사국들이 정전조건 준수할 것을 재차 촉구한 결의안 339호를 통과시켰습니다. 이집트 전선에서의 격렬한 전투는 대부분 10월 26일까지 끝났지만, 휴전선을 따라 소규모의 충돌과 공습이 있었습니다. 이스라엘이 일부 진전을 이룬 가운데 미국은 국제연합 탈퇴 결의안을 지지하겠다고 위협했지만, 이스라엘이 호응하기도 전에 이집트에서 놀라운 메시지를 보냈습니다. 이스라엘과의 대화에 기꺼이 뛰어든 것입니다. 시나이반도를 비무장지대로 반환하면 이스라엘에 대한 영유권을 포기할 것이며, 이스라엘을 공인하는 동시에 독립선언 이후 존재했던 전쟁 상태를 종식하겠다고 밝혔습니다. 그들은 우리의 제안을 받아들였습니다. 이제 그들은 시나이반도를 비무장지대로 반환할 것이며, 대신 우리는 이스라엘에 대한 모든 영유권을 포기하는 동시에 그들을 공인하고 이스라엘 독립선언 이후 존재했던 전쟁 상태를 종식할 것입니다.;On October 24, the UNSC passed Resolution 339, serving as a renewed call for all parties to adhere to the proposed ceasefire terms. Most heavy fighting on the Egyptian front ended by October 26, but clashes along the ceasefire lines and a few airstrikes took place. With some Israeli advances taking place, America threatened to support a UN withdrawal resolution, but before Israel could respond, Egyptians sent a stunning message - Egypt was willing to enter into direct talks with Israel. They have accepted our proposal: They will return the Sinai peninsula as a demilitarized zone, and we will abandon any other claims we have on their territory, and formally recognize them and end the state of war that has existed since the Israeli Declaration of Independence.;;;;;;;;;;X
EVT_8007694_NAME;욤키푸르 전쟁 정전;Yom Kippur War ceasefire;;;;;;;;;;X
EVT_8007693_DESC;10월 24일, 국제연합 안전보장이사회는 모든 당사국들이 정전조건 준수할 것을 재차 촉구한 결의안 339호를 통과시켰습니다. 이집트 전선에서의 격렬한 전투는 대부분 10월 26일까지 끝났지만, 휴전선을 따라 소규모의 충돌과 공습이 있었습니다. 이스라엘이 일부 진전을 이룬 가운데 미국은 국제연합 탈퇴 결의안을 지지하겠다고 위협했지만, 이스라엘이 호응하기도 전에 이집트에서 놀라운 메시지를 보냈습니다. 이스라엘과의 대화에 기꺼이 뛰어든 것입니다. 시나이반도를 비무장지대로 반환하면 이스라엘에 대한 영유권을 포기할 것이며, 이스라엘을 공인하는 동시에 독립선언 이후 존재했던 전쟁 상태를 종식하겠다고 밝혔습니다. 이집트가 평화를 위해 토지를 교환하겠다고 말하자, 우리에게 모든 정전을 받아들이라는 압력이 가해지고 있습니다.;On October 24, the UNSC passed Resolution 339, serving as a renewed call for all parties to adhere to the proposed ceasefire terms. Most heavy fighting on the Egyptian front ended by October 26, but clashes along the ceasefire lines and a few airstrikes took place. With some Israeli advances taking place, America threatened to support a UN withdrawal resolution, but before Israel could respond, Egyptians sent a stunning message - Egypt was willing to enter into direct talks with Israel. While the Egyptians trade land for peace, we are being pressured to accept the ceasefire without any transfer of land..;;;;;;;;;;X
EVT_8007694_A;불공평하다.;That's unfair, but what can we do?;;;;;;;;;;X
EVT_8007695_NAME;캠프 데이비드 합의;Camp David Accords;;;;;;;;;;X
EVT_8007695_DESC;1978년 9월 17일 이집트의 안와르 엘 사다트 대통령과 이스라엘의 메나켐 베긴 총리는 캠프 데이비드에서 12일간의 비밀협상 끝에 캠프 데이비드 합의에 서명했습니다. 둘은 백악관에서 지미 카터 미국 대통령이 목격하는 가운데 서명했습니다. 두번째 합의는 1979년 이집트-이스라엘 평화조약으로 직결되었습니다. 이 합의로 인해, 사다트와 베긴은 1978년 노벨평화상을 공동수상했습니다.;The Camp David Accords were signed by Egyptian President Anwar El Sadat and Israeli Prime Minister Menachem Begin on 17 September 1978, following twelve days of secret negotiations at Camp David. The two framework agreements were signed at the White House, and were witnessed by United States President Jimmy Carter. The second of these frameworks (A Framework for the Conclusion of a Peace Treaty between Egypt and Israel) led directly to the 1979 Egypt-Israel Peace Treaty. Due to the agreement, Sadat and Begin received the shared 1978 Nobel Peace Prize.;;;;;;;;;;X
EVT_8007695_A;알았다.;OK;;;;;;;;;;X
EVT_8007697_NAME;제1차 아랍인 반란;The First Intifada;;;;;;;;;;X
EVT_8007697_DESC;제1차 아랍인 반란은 이스라엘의 팔레스타인 점령에 반대하는 팔레스타인인들의 봉기로, 1987년 12월부터 1991년 마드리드 회의에 이르기까지 진행했습니다. 이는 12월 9일 자발리아 난민촌에서의 팔레스타인과 이스라엘 시민들의 사망사건 후에 시작됐습니다. 이스라엘 육군 트럭이 네 명의 팔레스타인인이 탑승한 차량을 들이받아 살해하자 긴장이 최고조에 달했습니다. 이번 충돌이 고의적으로 저지른 행위라는 소문은 아랍 전역으로 빠르게 퍼졌습니다. 이스라엘은 총파업과 보이콧, 시민 불복종, 광범위한 돌과 화염병 투척에 대응해 8만명의 병력을 배치해 봉기를 진압했고, '팔레스타인 뼈의 파괴'와 민간인에 대한 실탄사용정책을 채택했습니다. 이스라엘 방위군은 팔레스타인인 1,087명을 사살했고, 팔레스타인은 이스라엘 민간인 100명과 이스라엘 보안군 직원 60명을 사살했으며 이스라엘 민간인 1,400여 명과 군인 1,700여 명에게 부상을 입혔습니다. 팔레스타인은 또한 협력자로 추정되는 822명의 다른 팔레스타인인들을 살해했습니다. (사실 이스라엘 당국과 접촉한 것으로 증명된 사람은 절반도 되지 않습니다.);The First Intifada was a Palestinian uprising against the Israeli occupation of the Palestinian Territories, which lasted from December 1987 until the Madrid Conference in 1991. It began on December 9, in the Jabalia refugee camp after deaths of Palestinian and Israeli citizens. Tensions reached a boiling point when an Israeli Army truck struck a car killing four Palestinians. Rumors that the crash was a purposefully committed act quickly spread throughout Arab lands. In response to general strikes, boycotts, civil disobedience, and widespread throwing of stones and Molotov cocktails, Israel deployed 80,000 soldiers to put down the uprising, and adopted a policy of 'breaking Palestinians' bones' and using live ammunition against civilians. Israeli Defense Forces killed an estimated 1,087 Palestinians while Palestinians killed 100 Israeli civilians and 60 Israeli security forces personnel and injured more than 1,400 Israeli civilians and 1,700 soldiers. Palestinians also killed an estimated 822 other Palestinians as alleged collaborators, although fewer than half had any proven contact with the Israeli authorities.;;;;;;;;;;X
EVT_8007697_A;어떠한 저항도 분쇄한다.;Squash any opposition;;;;;;;;;;X
EVT_8007697_B;팔레스타인의 필연성을 받아들인다.;Accept inevitability of Palestinian state;;;;;;;;;;X
EVT_8007698_NAME;제2차 아랍인 반란;The Second Intifada;;;;;;;;;;;;;x
EVT_8007698_DESC;제2차 아랍인 반란은 이스라엘의 팔레스타인 점령에 반대하는 봉기입니다. 팔레스타인을 어떻게 다뤄야 할까요? 팔레스타인 해방기구는 이스라엘을 공인한 모든 지역은 그 책임을 져야할 것이라고 선언했습니다.;The Second Intifada was a Palestinian uprising against Israeli occupation. How shall we handle the Palestinians? For their part, the Palestine Liberation Organization formally recognized Israel and committed to adopting responsibility for internal security in any areas evacuated.;;;;;;;;;;;;;x
EVT_8007698_A;봉기를 진합하고 가자에서 철수한다.;Put down the uprising, but withdraw from Gaza;;;;;;;;;;;;;x
EVT_8007698_B;팔레스타인은 있어서는 안된다!;There shall be no Palestine!;;;;;;;;;;;;;x
EVT_8007698_C;자치를 허용한다.;Grant autonomy;;;;;;;;;;;;;x
EVT_8008752_NAME;해안도로 학살;The Coastal Road Massacre;;;;;;;;;;x
EVT_8008752_DESC;팔레스타인 난민들을 대표해 남부에서 활동하는 레바논 내전 파벌 중 하나가 우리 영토에서 엄청난 테러를 저질렀습니다. 국민, 특히 국경 근처의 국민들은 정의를 요구하며, 기독교도들 또한 수니파 반군의 땅을 빼앗아 자신들에게 돌려준다면 반대하지 않을 것입니다. 빨리 행동하지 않으면 더 많은 공격이 시작될지도 모릅니다.;One of the factions of the Lebanese Civil War, operating out of the south and representing Palestinian refugees, has committed a devastating terrorist attack on our soil. Our people, especially those near the border, demand justice, and the Christian ruling faction of Lebanon would not object if we were to occupy land belonging to Sunni rebels - provided we return it, of course. Furthermore, we fear that more attacks may begin if we do not act soon.;;;;;;;;;;x
EVT_8008752_A;공격을 멈추고 기독교도들의 영토를 점령한다.;Stop the attacks and occupy the land for the Lebanese Christians;;;;;;;;;;x
EVT_8008752_B;우리 땅이 아니다.;It is not our place;;;;;;;;;;x
EVT_8008753_NAME;리타니 작전;Operation Litani;;;;;;;;;;x
EVT_8008753_DESC;팔레스타인 난민으로 이뤄진 남부 반군이 시돈을 넘어 현재 리타니강 부근을 장악한 이스라엘을 공격했습니다. 현재 계획은 이 땅을 이용해 내전 파벌을 지원하는 것입니다. 불행하게도, 그들은 아직 땅을 반환할 계획을 밝히지 않았습니다.;The rebels in the south, most of whom are Palestinian refugees, have crossed the Sidon border and attacked Israel, who is now occupying land up to the Litani River. Fortunately for us, they plan to use the land to support our faction of the civil war. Unfortunately for us, they have not revealed their plans to return the land.;;;;;;;;;;x
EVT_8008753_A;재앙이다!;This is a disaster!;;;;;;;;;;x
EVT_8008754_NAME;5.17 합의;May 17 Agreement;;;;;;;;;;x
